<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;наши данные
ICE.BRN;M;20180401;0;69.32;75.61;66.69;74.7;3470415;;71.63
ICE.BRN;M;20180501;0;74.65;80.5;72.38;77.61;4029943;;76.65
ICE.BRN;M;20180601;0;77.71;79.56;72.45;79.12;3591005;;75.19
ICE.BRN;M;20180701;0;78.55;79.51;71.19;74.19;3412228;;74.44
ICE.BRN;M;20180801;0;74.07;78.32;70.3;77.71;3009178;;73.13
ICE.BRN;M;20180901;0;77.69;83.41;75.64;82.98;3141389;;78.86
ICE.BRN;M;20181001;0;82.97;86.74;74.58;74.59;4406167;;80.47
ICE.BRN;M;20181101;0;74.69;74.99;57.78;59.07;4333185;;65.17
ICE.BRN;M;20181201;0;59.98;63.73;50.22;54.15;3459773;;56.46
ICE.BRN;M;20190101;0;54.12;63.15;52.51;61.22;3659813;;59.27
ICE.BRN;M;20190201;0;61.06;67.73;60.46;66.28;2922609;;64.13
ICE.BRN;M;20190301;0;66.48;68.69;64.02;67.84;3245535;;66.41
ICE.BRN;M;20190401;0;67.82;75.6;67.82;71.66;3361337;;71.2
ICE.BRN;M;20190501;0;71.73;73.4;61.39;61.76;4256751;;70.53
ICE.BRN;M;20190601;0;60.81;66.14;58.98;65.63;3975460;;
ICE.BRN;M;20190701;0;65.63;67.65;61.29;65.05;3896683;;
ICE.BRN;M;20190801;0;64.09;64.54;55.88;59.19;3876785;;
ICE.BRN;M;20190901;0;58.8;71.95;57.23;59.43;3873510;;
ICE.BRN;M;20191001;0;59.38;62.11;56.16;59.5;3433668;;
ICE.BRN;M;20191101;0;59.45;64.27;59.4;60.73;2977360;;
ICE.BRN;M;20191201;0;60.73;67.59;60.3;66.03;2702377;;
ICE.BRN;M;20200101;0;66.41;71.75;55.93;56.66;3827095;;
ICE.BRN;M;20200201;0;56.16;60;48.94;50.09;3651010;;
ICE.BRN;M;20200301;0;48.95;53.87;21.65;25.92;3905269;;
